feature_id,surface,feature,entrypoint_or_route,source_evidence,user_story,expected_behavior,setup_preconditions,test_command_or_steps,status,first_test_result,error_id,error_summary,fix_status,retest_result,last_verified_at,notes
DIST-004,Distribution,Hugging Face sync workflow,.github/workflows/huggingface-sync.yml,.github/workflows/huggingface-sync.yml and scripts/sync_huggingface.py,As a Hugging Face visitor I get the same tracked repo and graph artifacts as GitHub,Workflow hydrates graph artifacts by matching LFS sha/size release assets before publishing and refuses stale README/docs stats,Valid write-scoped HF_TOKEN configured in GitHub secrets,GitHub Actions Sync Hugging Face workflow on main,Needs Fix,"FAIL: main Sync Hugging Face workflow run 28340695227 for 16c96b1 failed after README/docs stats and graph artifact hydration passed; upload to https://huggingface.co/api/datasets/Stevesolun/ctx/preupload/main returned 401 Unauthorized / Invalid username or password.",CTX-CICD-001,Post-exposure HF_TOKEN rotation remains open after successful sync proof,"Replace and revoke the token that was exposed during incident handling, update GitHub HF_TOKEN, then rerun the Sync Hugging Face workflow.","PASS: workflow_dispatch Sync Hugging Face run 28362276544 for main 03af985 succeeded; public dataset sha 6c98554cdfaeadedd8b4ec905128395e5116c5bd lastModified 2026-06-29T09:30:38Z exposes pyproject version 1.0.20 README Tests-4400_inventory Graph-79,958 nodes / 1,778,069 edges and docs/qa/feature-user-story-status.csv HTTP 200.",2026-06-29,"Successful run proved the replacement secret worked, but the exposed credential still requires another rotation before this row can pass."
DIST-005,Distribution,Clean host contract workflow,.github/workflows/clean-host-contract.yml,.github/workflows/clean-host-contract.yml,As a new installer I can verify ctx works on a clean host,Workflow installs the package in a clean environment and runs the clean-host smoke contract,GitHub Actions available,gh run view 28340695216,Retested Pass,PASS: Clean host contract job 83954561453 passed inside main Tests run 28340695216 for 16c96b1.,,,,,2026-06-29,Revalidated through the current required main workflow after the inventory wording merge.
DIST-006,Distribution,PyPI publish workflow,.github/workflows/publish.yml,.github/workflows/publish.yml,As a PyPI user I can install the tagged release with matching graph artifacts,Tag publish builds the wheel validates graph artifacts uploads release assets and publishes the package,Published release tag and clean temporary PyPI install environment,Inspect publish workflow run plus release/PyPI metadata; install claude-ctx from PyPI and load ctx-telemetry-export; run local full graph/dashboard smoke,Retested Pass,"PASS: v1.0.20 Publish to PyPI workflow run 28371022076 succeeded for 2bfce9275b34ecabda1742180607020fab3f8b0c; release assets include wiki-graph.tar.gz, wiki-graph-runtime.tar.gz, skills-sh-catalog.json.gz, communities.json, and entity-overlays.jsonl with SHA-256 digests; PyPI exposes claude-ctx 1.0.20 wheel and sdist; clean temp venv installed claude-ctx==1.0.20 and loaded ctx-telemetry-export.",,,,,2026-06-29,"Release v1.0.20 is published on GitHub and PyPI; full local ctx-init --graph --graph-install-mode full populated the LLM-wiki, and dashboard smoke passed all graph/wiki/entity routes."
DIST-007,Distribution,Parallel pytest experiment workflow,.github/workflows/xdist-experiment.yml,.github/workflows/xdist-experiment.yml,As a maintainer I can benchmark pytest-xdist safely before adopting it,Workflow runs only when explicitly dispatched and does not affect required checks until proven stable,GitHub Actions available,Manual workflow_dispatch run for xdist experiment,Tested Pass,GitHub Actions run 28133264595 passed on ubuntu-latest windows-latest and macos-latest with Python 3.12.,,,,,2026-06-24,Dispatched manually on main; optional experiment remains out of required checks.
CICD-001,Distribution,Tracker gates in docs and release workflows,".github/workflows/docs.yml, .github/workflows/publish.yml",src/tests/test_feature_user_story_tracker.py and src/tests/test_dashboard_user_story_tracker.py,As a release reviewer I can trust docs deploys and release tags cannot bypass tracker integrity,Docs deploy and publish release canaries run canonical feature and dashboard tracker tests before deployment or publishing,GitHub Actions available,python -m pytest src/tests/test_feature_user_story_tracker.py src/tests/test_dashboard_user_story_tracker.py -q,Tested Pass,Tracker enforcement test checks docs and publish workflows include both tracker suites.,,,,,2026-06-29,Added after expert audit found docs deploy and publish could rely on strict build without tracker checks.
SEC-001,Distribution,Hugging Face token fail-closed workflow policy,.github/workflows/huggingface-sync.yml,.github/workflows/huggingface-sync.yml,As a repository owner I want canonical Hugging Face sync to fail when its publishing secret is absent,The canonical stevesolun/ctx workflow exits non-zero without HF_TOKEN while forks may skip safely without publishing,GitHub Actions workflow metadata available,python -m pytest src/tests/test_feature_user_story_tracker.py -q,Tested Pass,Tracker enforcement test checks canonical repository guard and Missing HF_TOKEN error marker in the workflow.,,,,,2026-06-29,Separate from DIST-004 credential rotation which still requires external token revocation.
SEC-002,Distribution,No-mistakes development gate,no-mistakes axi run,imported-skills/no-mistakes and no-mistakes binary,As a maintainer I can gate feature branches through no-mistakes before merge,The no-mistakes pipeline runs intent rebase review test docs lint push PR and CI before changes reach main,Feature branch with committed changes,no-mistakes axi run --intent tracker-governance-change,Tested Pass,no-mistakes run 01KW9N9RP1F7N9T593164EPZY6 reached checks-passed and PR #206 merged after CI success.,,,,,2026-06-29,Tracks the required development-process gate requested for enterprise readiness.
MAINT-001,Maintainer,Backup snapshot audit,scripts/audit_backup.py,scripts/audit_backup.py,As a maintainer I can inspect backup snapshots for missing expected files,Script summarizes backup contents while accepting --help without snapshot access and flags missing graph/wiki/report artifacts without mutating the repo,Backup fixture available,python scripts/audit_backup.py --help; run script against representative backup fixture,Retested Pass,PASS: --help printed usage without touching snapshot files; temp backup fixture with BOM manifest printed entries and OK coverage; focused pytest passed.,CTX-AZ-008; CTX-QA-034,Backup audit previously rejected UTF-8 BOM manifests and treated --help as a snapshot path,Fixed by utf-8-sig manifest reads and snapshot-free help parsing in PR #210,PASS: /tmp/ctx-verify-venv/bin/python scripts/audit_backup.py --help; focused pytest 62 passed 1 skipped; no-mistakes run 01KWFXQTHJ83VNZ9ZJGMTAJPWC checks-passed.,2026-07-02,Read-only reporting; --help is snapshot-free and does not repair backup gaps.
MAINT-002,Maintainer,Dashboard graph index builder,scripts/build_dashboard_graph_index.py,scripts/build_dashboard_graph_index.py,As a dashboard user I get fast graph search and neighborhoods,Script builds the dashboard SQLite/index artifacts from graph exports for fast monitor reads,Graph fixture available,Run script against small graph fixture and query resulting index,Retested Pass,FAIL: BOM-prefixed graph.json from PowerShell Set-Content -Encoding UTF8 raised JSONDecodeError.,CTX-AZ-008,Dashboard graph index builder read graph JSON with utf-8 and rejected common Windows BOM input,Fixed by reading graph JSON with utf-8-sig,PASS: temp graph fixture built SQLite index with 2 nodes and neighbor mcp-server:github; regression pytest passed.,2026-06-23,
MAINT-003,Maintainer,CI change classifier,scripts/ci_classifier.py,scripts/ci_classifier.py and .github/workflows/test.yml,As a contributor I get the right CI gates for the files I changed,Classifier marks docs graph source package browser and similarity changes conservatively,CI classifier tests available,python -m pytest src/tests/test_ci_classifier.py -q,Tested Pass,CI classifier suite covers path classes and workflow contract behavior.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-004,Maintainer,No-test policy gate,scripts/ci_no_test_policy.py,scripts/ci_no_test_policy.py and .github/workflows/test.yml,As a reviewer I can reject risky code or workflow changes without test updates,Policy fails contract changes that omit matching tests while allowing metadata-only releases,CI policy tests available,python -m pytest src/tests/test_ci_classifier.py -q,Tested Pass,CI classifier suite covers no-test policy contract files and release metadata exceptions.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-005,Maintainer,Required CI aggregate,scripts/ci_required.py,scripts/ci_required.py and .github/workflows/test.yml,As a branch maintainer I can trust the required CI summary,Aggregate rejects failed missing or wrongly skipped required jobs and allows documented conditional skips,CI required tests available,python -m pytest src/tests/test_ci_classifier.py -q,Tested Pass,CI classifier suite covers required job dependency success failure and conditional skip cases.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-006,Maintainer,CI preflight gate,scripts/ci_preflight.py,scripts/ci_preflight.py and scripts/ci_classifier.py,As a contributor I can run the same preflight logic locally that CI uses,"Preflight classifies changes then emits source static gates (ruff format/check, ruff lint, mypy, pip check), public docs tracker, strict build, graph, browser, package, and similarity gates required",Repo checkout with git available,Run scripts/ci_preflight.py against representative changed files,Tested Pass,"select_checks(base_ref='origin/main', files=['README.md','docs/index.md'], profile='pr') returned whitespace repo stats public docs tracker and docs strict build.",,,,,2026-06-29,Validated through the script's public selection seam without launching expensive full preflight.
MAINT-007,Maintainer,Clean host contract script,scripts/clean_host_contract.py,scripts/clean_host_contract.py and .github/workflows/clean-host-contract.yml,As a new installer I can smoke ctx on a clean host,Script builds a clean venv installs ctx and runs init scan harness and monitor checks,Network and clean temp venv available,GitHub clean-host contract or local script smoke,Tested Pass,Clean host contract job passed inside PR #195 required checks.,,,,,2026-06-23,Workflow evidence covers the script path.
MAINT-008,Maintainer,Dashboard smoke script,scripts/dashboard_smoke.py,scripts/dashboard_smoke.py,As a maintainer I can smoke a running monitor before release,Script probes an already running ctx-monitor base URL and checks key pages/APIs with optional warmup,Monitor running or fake HTTP fixture available,python -m pytest src/tests/test_dashboard_smoke.py -q,Tested Pass,Dashboard smoke test suite covers route probing warmup and failure reporting for a supplied base URL.,,,,,2026-06-29,Corrected wording from starts-or-probes to probes-running-monitor; ctx-monitor startup is tracked separately by CLI-042.
MAINT-009,Maintainer,Graph artifact guard,scripts/graph_artifact_guard.py,scripts/graph_artifact_guard.py,As a maintainer I can prevent huge graph artifacts from bloating local Git state,Guard parks unparks and prunes graph artifacts safely without deleting unrelated files,Graph artifact fixture available,python -m pytest src/tests/test_graph_artifact_guard.py -q,Tested Pass,Graph artifact guard suite covers park unpark prune and explicit git prune safety.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-010,Maintainer,Overlay wiki entities,scripts/overlay_wiki_entities.py,scripts/overlay_wiki_entities.py,As a graph maintainer I can apply curated entity overlays to the wiki artifact,Script overlays entity pages and rebuilds dashboard index without corrupting packed wiki structure,Overlay fixture available,python -m pytest src/tests/test_overlay_wiki_entities.py -q,Tested Pass,Overlay wiki entities tests cover page generation replacements and CLI help.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-011,Maintainer,Full wiki tar repacker,scripts/pack_full_wiki_tar.py,scripts/pack_full_wiki_tar.py,As a maintainer I can ship a packed full LLM-wiki artifact without huge expanded fanout,Repacker moves high-fanout pages into wiki packs omits raw originals and is idempotent,Wiki tar fixture available,python -m pytest src/tests/test_pack_full_wiki_tar.py -q,Tested Pass,Pack full wiki tar tests cover packed wiki output original omission and idempotent repack.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-012,Maintainer,SkillSpector wiki pruner,scripts/prune_skillspector_wiki.py,scripts/prune_skillspector_wiki.py,As a maintainer I can prune low-value SkillSpector wiki noise before shipping,Script builds pruned artifacts in dry-run/apply modes while preserving required catalog metadata,Prune fixture available,python -m pytest src/tests/test_prune_skillspector_wiki.py -q,Tested Pass,Prune SkillSpector wiki tests cover dry-run apply and artifact rewrite behavior.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-013,Maintainer,Hugging Face sync script,scripts/sync_huggingface.py,scripts/sync_huggingface.py and .github/workflows/huggingface-sync.yml,As a Hugging Face visitor I get a clean repo-card snapshot without ignored local artifacts,Script exports tracked files adds repo-card metadata validates graph artifacts and removes stale remote files,HF token or fake API available,python -m pytest src/tests/test_huggingface_sync.py -q,Tested Pass,Hugging Face sync tests cover metadata wrapping stale remote cleanup and hardened workflow contract.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
MAINT-014,Maintainer,Similarity threshold tuner,scripts/tune_similarity_thresholds.py,scripts/tune_similarity_thresholds.py,As a graph maintainer I can calibrate similarity thresholds against fixtures,Tuner prints help without loading the embedding model and sweeps threshold settings with precision/recall/F1 output without mutating graph artifacts,Similarity fixture corpus available,python scripts/tune_similarity_thresholds.py --help; run tuner against fixture corpus,Retested Pass,"PASS: --help printed usage without loading the embedder; focused pytest passed; tuner prints precision, recall, F1, and confusion counts.",CTX-QA-035,Similarity tuner --help previously loaded the embedding backend and could fail before usage output,Fixed by model-free help handling and F1 metric reporting in PR #210,PASS: /tmp/ctx-verify-venv/bin/python scripts/tune_similarity_thresholds.py --help; focused pytest 62 passed 1 skipped; GitHub Similarity precision/recall passed.,2026-07-02,Full sweep still depends on embedding backend availability; --help stays model-free and CI covers fixture precision/recall/F1.
PUBLIC-001,Docs,Public catalog search JavaScript,docs/assets/javascripts/catalog.js,docs/assets/javascripts/catalog.js and docs/catalog.md,As a GitHub Pages visitor I can filter catalog tiles without a local dashboard,JavaScript wires input and checkbox filters and updates visible catalog cards/counts client-side,Docs assets available,python -m pytest src/tests/test_docs_catalog_page.py -q,Tested Pass,Docs catalog page tests verify script inclusion input listener and public non-local links.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
PUBLIC-002,Docs,Public repo stats refresh JavaScript,docs/assets/javascripts/repo-stats-refresh.js,docs/assets/javascripts/repo-stats-refresh.js and mkdocs.yml,As a docs visitor I see current repo stats when GitHub allows client refresh,JavaScript is included by MkDocs and degrades safely when live repo stats cannot be fetched,Docs assets available,python -m pytest src/tests/test_docs_repo_stats.py -q,Tested Pass,Docs repo stats tests verify MkDocs includes the script and the script has the expected refresh behavior.,,,,,2026-06-23,Validated by focused pytest in this tracker slice.
PUBLIC-003,Docs,Backup watchdog service manifests,"docs/services/systemd/claude-backup-watchdog.service, docs/services/macos/com.claude.backup.watchdog.plist, docs/services/windows/install-backup-watchdog.ps1","docs/services and docs/backup-hook-install.md",As an operator I can install the backup watchdog as a least-privilege background service on Linux macOS or Windows,Public service assets point at backup_mirror watchdog use user-scope execution and expose install/remove/status guidance without requiring admin rights,Docs services assets available,"python -m pytest src/tests/test_feature_user_story_tracker.py src/tests/test_backup_watchdog.py -q",Tested Pass,Tracker enforcement covers every docs/services asset and watchdog CLI tests cover --once JSON and real snapshot behavior.,,,,,2026-06-29,Added for public linked service assets referenced from backup hook install docs.
PUBLIC-004,Docs,Starter toolbox template JSON,"docs/toolbox/templates/docs-review.json, docs/toolbox/templates/fresh-repo-init.json, docs/toolbox/templates/refactor-safety.json, docs/toolbox/templates/security-sweep.json, docs/toolbox/templates/ship-it.json","docs/toolbox/templates, docs/toolbox/starters.md, src/toolbox.py",As a toolbox user I can rely on public starter template JSON matching ctx-toolbox init behavior,Public starter JSON files remain in sync with embedded wheel fallback templates so docs checkout users and PyPI users seed the same starter toolboxes,Docs template assets available,python -m pytest src/tests/test_toolbox_cli.py -q,Tested Pass,Toolbox CLI regression compares docs/toolbox/templates JSON to the embedded fallback path used when templates are absent from installed wheels.,,,,,2026-06-29,Added for public starter preset assets referenced from starter toolbox docs.
